Day,Agent_ID,Leads_Allocated,Conversion_Rate,Sales_Closed
1,1,10.0,0.06595044811916731,0.659504481191673
1,2,10.0,0.20103759690735118,2.010375969073512
1,3,10.0,0.13800861028236283,1.3800861028236282
1,4,10.0,0.12416934445266557,1.2416934445266556
1,5,10.0,0.046106493083309184,0.46106493083309186
1,6,10.0,0.03566384085762954,0.35663840857629536
1,7,10.0,0.020281816454904907,0.20281816454904905
1,8,10.0,0.1924184470690126,1.9241844706901259
1,9,10.0,0.11073725935409465,1.1073725935409464
1,10,10.0,0.12007751106682861,1.200775110668286
1,11,10.0,0.012741142366474542,0.12741142366474542
1,12,10.0,0.1679553114089674,1.679553114089674
1,13,10.0,0.19706798964454672,1.9706798964454673
1,14,10.0,0.056549289107900795,0.5654928910790079
1,15,10.0,0.04692382495300451,0.4692382495300451
1,16,10.0,0.05151039284086996,0.5151039284086996
1,17,10.0,0.07604234487870618,0.7604234487870618
1,18,10.0,0.0959499495582787,0.9594994955827869
1,19,10.0,0.10652664623394908,1.065266462339491
1,20,10.0,0.066361683759069,0.6636168375906901
1,21,10.0,0.14177802993362656,1.4177802993362656
1,22,10.0,0.042287373872954975,0.42287373872954975
1,23,10.0,0.06073862949781674,0.6073862949781674
1,24,10.0,0.06719143864927818,0.6719143864927818
1,25,10.0,0.08613491158586606,0.8613491158586606
1,26,10.0,0.15454213969627603,1.5454213969627604
1,27,10.0,0.054036017716918495,0.5403601771691849
1,28,10.0,0.12324547238796904,1.2324547238796904
1,29,10.0,0.09838783228841462,0.9838783228841462
1,30,10.0,0.018906508091776783,0.18906508091776783
1,31,10.0,0.12128975036445798,1.2128975036445797
1,32,10.0,0.03768657826294268,0.3768657826294268
1,33,10.0,0.018959908517847672,0.18959908517847673
1,34,10.0,0.17792828199908897,1.7792828199908897
1,35,10.0,0.22774599773698612,2.277459977369861
1,36,10.0,0.15202621452111242,1.5202621452111242
1,37,10.0,0.06838679367060507,0.6838679367060507
1,38,10.0,0.030876803605092356,0.30876803605092357
1,39,10.0,0.13236729957513518,1.3236729957513518
1,40,10.0,0.11129796271746642,1.1129796271746641
1,41,10.0,0.039326208920620755,0.39326208920620753
1,42,10.0,0.09374945474454648,0.9374945474454648
1,43,10.0,0.016515621929656464,0.16515621929656465
1,44,10.0,0.16821341806535403,1.6821341806535404
1,45,10.0,0.05407595654065195,0.5407595654065195
1,46,10.0,0.11070825528266032,1.1070825528266033
1,47,10.0,0.07225894544279556,0.7225894544279555
1,48,10.0,0.10892952896420807,1.0892952896420807
1,49,10.0,0.09344481861336396,0.9344481861336396
1,50,10.0,0.04112715016955003,0.4112715016955003
1,51,10.0,0.22593861567675264,2.259386156767526
1,52,10.0,0.140891050349421,1.40891050349421
1,53,10.0,0.16172919060767313,1.6172919060767312
1,54,10.0,0.17925772277065186,1.7925772277065186
1,55,10.0,0.14761174790344503,1.4761174790344502
1,56,10.0,0.16605208819716605,1.6605208819716606
1,57,10.0,0.028659803180921962,0.2865980318092196
1,58,10.0,0.052179967362813405,0.5217996736281341
1,59,10.0,0.016641923431589642,0.16641923431589642
1,60,10.0,0.07836830145310819,0.7836830145310819
1,61,10.0,0.07941420085630908,0.7941420085630908
1,62,10.0,0.06481401984566482,0.6481401984566482
1,63,10.0,0.17640448765383604,1.7640448765383603
1,64,10.0,0.07889619886226724,0.7889619886226724
1,65,10.0,0.05299098348598115,0.5299098348598115
1,66,10.0,0.12828298446066352,1.2828298446066353
